/Users/vladimirpylov/kuvalda_automation_kit/.venv/lib/python3.9/site-packages/urllib3/__init__.py:35: NotOpenSSLWarning: urllib3 v2 only supports OpenSSL 1.1.1+, currently the 'ssl' module is compiled with 'LibreSSL 2.8.3'. See: https://github.com/urllib3/urllib3/issues/3020
  warnings.warn(
[1/4] Discovering article URLs...
Discovered 406 article URLs
[148/406 новая статья 148/406] https://www.kuvalda.ru/blog/articles/zolotye_ruky/muzyka-lego-i-nemnogo-fantazii.html
[149/406 новая статья 149/406] https://www.kuvalda.ru/blog/articles/polz/vybiraem-infrakrasnyy-obogrevatel.html
[150/406 новая статья 150/406] https://www.kuvalda.ru/blog/articles/polz/konvektor---sovremennoe-teplo.html
[151/406 новая статья 151/406] https://www.kuvalda.ru/blog/articles/polz/teplovaya-zavesa.html
[152/406 новая статья 152/406] https://www.kuvalda.ru/blog/articles/polz/tal-ruchnaya-ili-elektricheskaya.html
[153/406 новая статья 153/406] https://www.kuvalda.ru/blog/articles/polz/kak-vybrat-obdirochnuyu-schetku.html
[154/406 новая статья 154/406] https://www.kuvalda.ru/blog/articles/raznoe/chto-stanet-s-hitachi.html
[155/406 новая статья 155/406] https://www.kuvalda.ru/blog/articles/zolotye_ruky/remont-20.html
[156/406 новая статья 156/406] https://www.kuvalda.ru/blog/articles/polz/vozduhoduvki-chem-otlichayutsya-i-kak-vybrat.html
[157/406 новая статья 157/406] https://www.kuvalda.ru/blog/articles/polz/zazemlenie.html
[158/406 новая статья 158/406] https://www.kuvalda.ru/blog/articles/zolotye_ruky/borodatye-i-ochen-modnye.html
[159/406 новая статья 159/406] https://www.kuvalda.ru/blog/articles/raznoe/burning-man-2018.html
[160/406 новая статья 160/406] https://www.kuvalda.ru/blog/articles/newinstr/bezopasnyy-podem.html
[161/406 новая статья 161/406] https://www.kuvalda.ru/blog/articles/polz/vybiraem-skobozabivatel.html
[162/406 новая статья 162/406] https://www.kuvalda.ru/blog/articles/events/dolshe-legche-silnee.html
[163/406 новая статья 163/406] https://www.kuvalda.ru/blog/articles/polz/ostorozhno-goryacho.html
[164/406 новая статья 164/406] https://www.kuvalda.ru/blog/articles/polz/zakrutit-i-zabyt.html
[165/406 новая статья 165/406] https://www.kuvalda.ru/blog/articles/polz/vybiraem-shlifmashinu.html
